CustomerID,State,PlanType,InternetType,Contract,TenureMonths,MonthlyRecharge,TotalSpend,DataUsageGB,CallMinutes,CustomerServiceCalls,NetworkComplaints,Churn
BSNL731459,Karnataka,Postpaid,Broadband,Monthly,47,300.04,14019.14,35.73,1063,3,1,Yes
BSNL811643,Maharashtra,Prepaid,4G,Monthly,19,245.68,4736.24,12.05,544,0,1,No
BSNL620543,Tamil Nadu,Prepaid,3G,Monthly,31,433.05,13369.23,32.56,1398,0,0,No
BSNL567777,Andhra Pradesh,Prepaid,4G,Monthly,43,1069.86,46017.68,5.67,1688,0,1,No
BSNL249629,Maharashtra,Postpaid,3G,Two Year,70,1025.33,71963.34,44.97,1113,5,2,Yes
BSNL681648,Karnataka,Postpaid,3G,Monthly,58,1081.22,62676.26,39.06,82,0,0,No
BSNL743354,Kerala,Postpaid,4G,Monthly,65,818.13,52997.68,6.37,92,6,2,Yes
BSNL730675,Karnataka,Prepaid,4G,Monthly,28,1059.4,29837.73,10.59,606,3,1,No
BSNL450503,Kerala,Postpaid,4G,Annual,39,427.34,16805.24,13.86,1358,0,1,No
BSNL114953,Telangana,Prepaid,4G,Monthly,57,362.68,20791.0,18.68,1609,0,1,No
BSNL662839,Andhra Pradesh,Postpaid,4G,Monthly,39,724.94,28336.88,11.79,598,2,1,Yes
BSNL483374,Tamil Nadu,Postpaid,4G,Monthly,20,1188.83,23763.08,41.91,185,3,2,Yes
BSNL314047,Maharashtra,Postpaid,3G,Monthly,59,664.4,39363.97,6.85,1944,1,4,Yes
BSNL781099,Kerala,Postpaid,4G,Monthly,14,675.51,9414.42,23.58,1516,1,0,No
BSNL371813,Tamil Nadu,Prepaid,4G,Monthly,24,283.54,6838.54,2.89,1853,3,0,No
BSNL829660,Maharashtra,Postpaid,3G,Annual,43,372.86,16016.88,13.86,1660,1,0,No
BSNL550863,Kerala,Postpaid,4G,Monthly,57,268.95,15445.48,13.15,1802,0,0,No
BSNL761951,Karnataka,Prepaid,3G,Monthly,49,536.51,26350.75,12.2,784,0,0,No
BSNL877938,Telangana,Prepaid,None,Annual,3,1147.43,3319.11,33.11,691,0,0,No
BSNL850426,Maharashtra,Prepaid,4G,Monthly,49,805.28,39439.03,34.05,1029,3,1,Yes
BSNL578861,Andhra Pradesh,Prepaid,4G,Two Year,29,826.5,23835.62,25.88,1107,3,0,No
BSNL617014,Telangana,Postpaid,Broadband,Monthly,15,1119.21,16760.68,4.28,1526,8,3,Yes
BSNL969237,Maharashtra,Prepaid,4G,Monthly,52,395.56,20460.65,43.98,1151,0,0,No
BSNL424076,Telangana,Prepaid,Broadband,Monthly,60,259.08,15387.34,18.8,1195,0,0,No
BSNL850553,Andhra Pradesh,Postpaid,None,Monthly,70,1123.53,78497.76,19.17,1426,2,2,Yes
BSNL245349,Andhra Pradesh,Prepaid,4G,Monthly,7,946.67,6725.36,5.79,1471,1,0,No
BSNL279816,Telangana,Prepaid,Broadband,Two Year,60,1124.66,67442.17,32.73,412,4,0,Yes
BSNL708180,Karnataka,Prepaid,Broadband,Monthly,32,1188.64,38103.94,11.42,780,0,0,No
BSNL539451,Kerala,Prepaid,3G,Annual,69,999.4,68931.76,14.09,682,2,0,No
BSNL127952,Maharashtra,Postpaid,4G,Monthly,16,799.03,12737.26,22.79,1384,1,1,No
BSNL690854,Andhra Pradesh,Prepaid,3G,Two Year,9,397.11,3770.98,1.38,1264,2,0,No
BSNL900881,Karnataka,Prepaid,3G,Monthly,11,396.18,4197.69,41.11,986,0,2,No
BSNL221299,Maharashtra,Prepaid,None,Annual,12,564.23,6635.84,9.06,424,0,0,No
BSNL644928,Tamil Nadu,Prepaid,4G,Annual,41,1141.06,46621.44,43.09,1626,1,1,Yes
BSNL115318,Andhra Pradesh,Prepaid,Broadband,Monthly,58,244.5,14321.3,11.65,1356,0,2,No
BSNL928668,Andhra Pradesh,Prepaid,4G,Monthly,65,185.37,11893.48,38.86,258,3,2,Yes
BSNL168510,Kerala,Postpaid,3G,Monthly,64,294.89,19028.1,22.57,446,5,0,Yes
BSNL749485,Kerala,Prepaid,3G,Annual,64,246.66,15833.42,6.01,1801,1,1,No
BSNL989715,Telangana,Prepaid,4G,Monthly,7,637.07,4576.22,38.36,1820,1,1,No
BSNL881628,Maharashtra,Prepaid,None,Annual,45,958.11,42961.91,42.9,1513,3,1,Yes
BSNL121921,Telangana,Postpaid,4G,Two Year,59,225.68,13139.31,48.9,854,2,2,Yes
BSNL883198,Tamil Nadu,Postpaid,4G,Two Year,65,828.28,53990.0,5.21,1221,1,0,No
BSNL624266,Karnataka,Postpaid,None,Annual,61,560.67,34090.99,14.4,770,0,0,No
BSNL317774,Karnataka,Prepaid,4G,Annual,67,671.95,45127.53,6.41,1023,2,1,Yes
BSNL788392,Tamil Nadu,Prepaid,3G,Monthly,70,331.34,23356.07,45.72,949,2,0,Yes
BSNL810769,Telangana,Prepaid,4G,Annual,66,446.47,29606.7,41.34,634,1,5,Yes
BSNL529306,Kerala,Prepaid,4G,Two Year,31,778.29,24000.61,16.87,1703,0,3,Yes
BSNL897174,Telangana,Prepaid,4G,Two Year,60,598.24,35740.48,4.12,604,3,1,No
BSNL439107,Kerala,Prepaid,None,Monthly,64,228.75,14556.18,48.94,1654,5,0,No
BSNL766703,Andhra Pradesh,Prepaid,4G,Monthly,69,1006.38,69351.67,12.85,1556,2,2,Yes
BSNL492817,Kerala,Prepaid,3G,Monthly,11,393.17,4233.85,45.14,1860,2,1,No
BSNL264155,Tamil Nadu,Prepaid,4G,Monthly,38,155.23,5739.86,16.79,309,3,1,Yes
BSNL198631,Andhra Pradesh,Postpaid,3G,Annual,34,513.14,17447.89,13.92,911,1,0,No
BSNL363299,Maharashtra,Prepaid,4G,Two Year,23,190.91,4549.32,41.37,387,2,0,No
BSNL713542,Andhra Pradesh,Prepaid,4G,Monthly,20,1040.47,20897.13,1.61,1974,3,4,Yes
BSNL519236,Karnataka,Prepaid,3G,Two Year,24,721.26,17449.41,18.37,728,1,1,Yes
BSNL373062,Tamil Nadu,Prepaid,4G,Monthly,8,972.2,7877.89,32.3,422,2,0,Yes
BSNL972717,Tamil Nadu,Prepaid,Broadband,Monthly,49,947.93,46356.52,46.38,1209,6,4,Yes
BSNL194921,Karnataka,Prepaid,3G,Monthly,60,895.21,53583.6,6.5,747,2,1,Yes
BSNL554372,Maharashtra,Prepaid,4G,Annual,47,914.94,42814.57,7.78,450,1,0,No
BSNL253145,Kerala,Prepaid,Broadband,Two Year,63,665.75,42134.76,16.62,1339,2,0,No
BSNL968529,Maharashtra,Prepaid,Broadband,Monthly,43,468.59,19998.79,25.98,1049,0,0,No
BSNL464305,Telangana,Postpaid,4G,Monthly,6,737.46,4292.14,24.13,506,5,1,Yes
BSNL975922,Tamil Nadu,Prepaid,4G,Monthly,27,156.33,4400.79,19.21,1632,2,1,No
BSNL425626,Andhra Pradesh,Prepaid,Broadband,Monthly,14,895.48,12404.28,30.18,1327,0,0,Yes
BSNL622778,Karnataka,Prepaid,Broadband,Monthly,18,240.15,4356.82,32.63,1533,2,0,No
BSNL570556,Tamil Nadu,Postpaid,None,Monthly,16,858.67,13893.84,44.66,416,3,3,Yes
BSNL569820,Tamil Nadu,Prepaid,4G,Monthly,37,1145.62,42304.32,46.65,1014,3,2,Yes
BSNL931651,Karnataka,Prepaid,None,Monthly,43,302.15,13171.22,12.19,1634,3,0,Yes
BSNL230540,Tamil Nadu,Prepaid,4G,Annual,64,1019.29,65316.18,39.9,1949,4,0,Yes
BSNL430266,Andhra Pradesh,Prepaid,4G,Two Year,29,425.15,12148.84,33.75,1829,6,2,Yes
BSNL825215,Maharashtra,Postpaid,None,Monthly,53,747.4,39775.81,49.28,1898,0,0,No
BSNL341916,Andhra Pradesh,Postpaid,Broadband,Two Year,14,907.24,12862.85,3.57,1489,6,2,Yes
BSNL931421,Telangana,Prepaid,4G,Monthly,62,344.96,21428.92,15.17,1110,0,1,No
BSNL164907,Maharashtra,Prepaid,None,Monthly,28,1027.45,28637.87,29.5,1281,0,2,Yes
BSNL887913,Maharashtra,Prepaid,4G,Monthly,16,472.76,7741.07,21.74,589,1,0,No
BSNL359332,Andhra Pradesh,Postpaid,4G,Monthly,11,1170.85,12995.89,32.16,1650,2,1,Yes
BSNL219176,Andhra Pradesh,Prepaid,4G,Annual,4,752.45,3042.6,10.47,454,2,1,No
BSNL548435,Karnataka,Postpaid,None,Monthly,37,247.27,9161.01,7.3,654,1,0,Yes
BSNL411103,Maharashtra,Prepaid,3G,Annual,30,906.29,27082.32,19.43,365,2,4,Yes
BSNL586331,Karnataka,Prepaid,4G,Monthly,5,893.83,4455.14,24.58,184,2,1,Yes
BSNL147378,Tamil Nadu,Prepaid,4G,Two Year,44,451.35,19782.17,33.86,199,2,1,No
BSNL536428,Karnataka,Postpaid,4G,Two Year,34,631.51,21619.36,13.01,62,4,3,Yes
BSNL433046,Maharashtra,Prepaid,None,Monthly,67,150.3,10181.23,7.02,929,6,3,Yes
BSNL608869,Karnataka,Prepaid,4G,Monthly,13,1185.51,15558.38,33.97,1897,2,5,Yes
BSNL381423,Kerala,Postpaid,4G,Monthly,2,626.87,1166.8,3.19,443,3,1,No
BSNL305108,Kerala,Prepaid,4G,Monthly,40,1038.88,41418.98,43.83,1137,3,0,Yes
BSNL549238,Tamil Nadu,Prepaid,3G,Monthly,6,1118.66,6777.98,5.36,1159,0,0,No
BSNL327226,Telangana,Prepaid,3G,Annual,41,570.16,23369.29,43.82,1832,8,1,Yes
BSNL784268,Tamil Nadu,Postpaid,3G,Two Year,11,1087.87,11904.89,2.39,1726,2,4,Yes
BSNL629976,Karnataka,Prepaid,4G,Monthly,29,270.4,7879.33,7.49,1456,3,2,Yes
BSNL943343,Telangana,Prepaid,None,Monthly,43,432.7,18473.43,36.66,1447,1,0,Yes
BSNL507855,Kerala,Prepaid,4G,Two Year,42,1010.22,42333.82,33.82,625,2,3,Yes
BSNL624426,Kerala,Prepaid,4G,Monthly,45,549.46,24802.97,26.15,1097,1,1,No
BSNL432216,Andhra Pradesh,Prepaid,Broadband,Annual,6,487.98,3071.15,16.81,1969,2,1,No
BSNL553999,Andhra Pradesh,Postpaid,Broadband,Monthly,61,484.3,29682.88,26.39,1445,4,3,Yes
BSNL953542,Kerala,Prepaid,None,Annual,15,605.79,9017.3,14.15,1426,5,1,Yes
BSNL813295,Andhra Pradesh,Prepaid,4G,Annual,40,939.3,37672.73,26.76,1329,3,2,Yes
BSNL149156,Andhra Pradesh,Prepaid,None,Monthly,12,204.13,2270.15,26.07,224,2,1,Yes
BSNL679063,Kerala,Prepaid,3G,Annual,62,737.81,45890.88,29.33,1212,0,0,No
BSNL326886,Andhra Pradesh,Postpaid,3G,Monthly,69,783.5,54137.5,49.1,878,1,1,No
BSNL852215,Andhra Pradesh,Prepaid,Broadband,Two Year,53,953.91,50561.99,35.11,742,2,3,No
BSNL396667,Tamil Nadu,Prepaid,4G,Monthly,19,690.49,13192.0,5.42,1353,4,3,Yes
BSNL124168,Telangana,Postpaid,4G,Two Year,17,708.61,12100.76,36.53,1667,3,4,Yes
BSNL580671,Andhra Pradesh,Prepaid,4G,Monthly,63,968.47,61072.32,8.66,1456,0,0,No
BSNL304713,Tamil Nadu,Postpaid,Broadband,Annual,25,487.3,12135.32,14.15,94,0,0,No
BSNL813612,Maharashtra,Postpaid,4G,Annual,51,549.6,27857.36,40.03,1545,1,1,No
BSNL232570,Karnataka,Prepaid,3G,Monthly,23,1184.48,27393.16,36.34,1667,3,1,No
BSNL426170,Tamil Nadu,Prepaid,4G,Monthly,61,801.94,48891.7,14.37,1749,1,2,No
BSNL120429,Telangana,Postpaid,4G,Monthly,46,590.05,27277.15,18.85,733,1,0,No
BSNL683017,Andhra Pradesh,Prepaid,3G,Annual,71,188.17,13467.65,34.5,827,1,5,Yes
BSNL666670,Tamil Nadu,Postpaid,4G,Annual,10,1118.66,11176.01,26.35,971,0,0,No
BSNL879080,Maharashtra,Prepaid,Broadband,Monthly,46,912.89,41961.38,37.68,1676,4,1,Yes
BSNL598037,Kerala,Prepaid,4G,Two Year,7,1082.36,7752.64,47.48,111,4,4,Yes
BSNL296427,Tamil Nadu,Postpaid,4G,Monthly,68,387.91,26352.74,30.46,1672,6,1,Yes
BSNL792337,Andhra Pradesh,Prepaid,Broadband,Monthly,59,809.59,47929.96,18.11,1609,2,1,Yes
BSNL421872,Tamil Nadu,Prepaid,Broadband,Annual,69,835.05,57639.69,18.13,1387,1,0,No
BSNL185541,Tamil Nadu,Prepaid,4G,Monthly,38,493.85,18896.16,33.7,1036,3,1,Yes
BSNL867108,Kerala,Prepaid,4G,Monthly,25,522.64,12952.14,38.79,1292,3,1,Yes
